Metrics,Num_Neighbors,PCA_Components,N_Random_States,Score
wminkowski,1,4,1,0.48616600790513836
wminkowski,1,4,2,0.35968379446640314
wminkowski,1,4,3,0.5296442687747036
wminkowski,1,4,4,0.43478260869565216
wminkowski,1,4,5,0.45849802371541504
wminkowski,1,4,6,0.3794466403162055
wminkowski,1,4,7,0.43873517786561267
wminkowski,1,4,8,0.44664031620553357
wminkowski,1,4,9,0.4268774703557312
wminkowski,1,4,10,0.47035573122529645
wminkowski,1,4,11,0.4901185770750988
wminkowski,1,4,12,0.43478260869565216
wminkowski,1,4,13,0.45849802371541504
wminkowski,1,4,14,0.4426877470355731
wminkowski,1,4,15,0.4782608695652174
wminkowski,1,4,16,0.40711462450592883
wminkowski,1,4,17,0.42292490118577075
wminkowski,1,4,18,0.4505928853754941
wminkowski,1,4,19,0.4782608695652174
wminkowski,1,4,20,0.4308300395256917
wminkowski,1,5,1,0.4980237154150198
wminkowski,1,5,2,0.4031620553359684
wminkowski,1,5,3,0.42292490118577075
wminkowski,1,5,4,0.383399209486166
wminkowski,1,5,5,0.48616600790513836
wminkowski,1,5,6,0.42292490118577075
wminkowski,1,5,7,0.48221343873517786
wminkowski,1,5,8,0.5059288537549407
wminkowski,1,5,9,0.3715415019762846
wminkowski,1,5,10,0.48221343873517786
wminkowski,1,5,11,0.5138339920948617
wminkowski,1,5,12,0.4743083003952569
wminkowski,1,5,13,0.5177865612648221
wminkowski,1,5,14,0.4980237154150198
wminkowski,1,5,15,0.383399209486166
wminkowski,1,5,16,0.4505928853754941
wminkowski,1,5,17,0.39920948616600793
wminkowski,1,5,18,0.4505928853754941
wminkowski,1,5,19,0.3438735177865613
wminkowski,1,5,20,0.49407114624505927
wminkowski,1,6,1,0.4426877470355731
wminkowski,1,6,2,0.42292490118577075
wminkowski,1,6,3,0.5059288537549407
wminkowski,1,6,4,0.34782608695652173
wminkowski,1,6,5,0.43478260869565216
wminkowski,1,6,6,0.4782608695652174
wminkowski,1,6,7,0.47035573122529645
wminkowski,1,6,8,0.5335968379446641
wminkowski,1,6,9,0.5098814229249012
wminkowski,1,6,10,0.4426877470355731
wminkowski,1,6,11,0.4743083003952569
wminkowski,1,6,12,0.4505928853754941
wminkowski,1,6,13,0.525691699604743
wminkowski,1,6,14,0.4505928853754941
wminkowski,1,6,15,0.4308300395256917
wminkowski,1,6,16,0.49407114624505927
wminkowski,1,6,17,0.40711462450592883
wminkowski,1,6,18,0.4782608695652174
wminkowski,1,6,19,0.3557312252964427
wminkowski,1,6,20,0.41106719367588934
wminkowski,1,7,1,0.5059288537549407
wminkowski,1,7,2,0.5454545454545454
wminkowski,1,7,3,0.5217391304347826
wminkowski,1,7,4,0.5652173913043478
wminkowski,1,7,5,0.4901185770750988
wminkowski,1,7,6,0.4624505928853755
wminkowski,1,7,7,0.5177865612648221
wminkowski,1,7,8,0.45454545454545453
wminkowski,1,7,9,0.5019762845849802
wminkowski,1,7,10,0.5217391304347826
wminkowski,1,7,11,0.5059288537549407
wminkowski,1,7,12,0.4031620553359684
wminkowski,1,7,13,0.549407114624506
wminkowski,1,7,14,0.5217391304347826
wminkowski,1,7,15,0.5533596837944664
wminkowski,1,7,16,0.36363636363636365
wminkowski,1,7,17,0.44664031620553357
wminkowski,1,7,18,0.5454545454545454
wminkowski,1,7,19,0.391304347826087
wminkowski,1,7,20,0.5296442687747036
wminkowski,1,8,1,0.5454545454545454
wminkowski,1,8,2,0.5612648221343873
wminkowski,1,8,3,0.4782608695652174
wminkowski,1,8,4,0.6245059288537549
wminkowski,1,8,5,0.549407114624506
wminkowski,1,8,6,0.38735177865612647
wminkowski,1,8,7,0.5059288537549407
wminkowski,1,8,8,0.5059288537549407
wminkowski,1,8,9,0.4308300395256917
wminkowski,1,8,10,0.5849802371541502
wminkowski,1,8,11,0.5217391304347826
wminkowski,1,8,12,0.47035573122529645
wminkowski,1,8,13,0.5059288537549407
wminkowski,1,8,14,0.5098814229249012
wminkowski,1,8,15,0.48221343873517786
wminkowski,1,8,16,0.4980237154150198
