Metrics,Num_Neighbors,PCA_Components,N_Random_States,Score
minkowski,1,0,1,0.665
minkowski,1,0,2,0.735
minkowski,1,0,3,0.72
minkowski,1,0,5,0.71
minkowski,1,0,10,0.735
minkowski,1,0,15,0.72
minkowski,1,0,20,0.69
minkowski,1,2,1,0.38
minkowski,1,2,2,0.3
minkowski,1,2,3,0.345
minkowski,1,2,5,0.3
minkowski,1,2,10,0.31
minkowski,1,2,15,0.355
minkowski,1,2,20,0.32
minkowski,1,3,1,0.475
minkowski,1,3,2,0.485
minkowski,1,3,3,0.475
minkowski,1,3,5,0.465
minkowski,1,3,10,0.445
minkowski,1,3,15,0.53
minkowski,1,3,20,0.505
minkowski,1,4,1,0.47
minkowski,1,4,2,0.42
minkowski,1,4,3,0.425
minkowski,1,4,5,0.48
minkowski,1,4,10,0.43
minkowski,1,4,15,0.47
minkowski,1,4,20,0.475
minkowski,1,5,1,0.51
minkowski,1,5,2,0.445
minkowski,1,5,3,0.52
minkowski,1,5,5,0.525
minkowski,1,5,10,0.52
minkowski,1,5,15,0.52
minkowski,1,5,20,0.48
minkowski,1,6,1,0.54
minkowski,1,6,2,0.485
minkowski,1,6,3,0.53
minkowski,1,6,5,0.52
minkowski,1,6,10,0.51
minkowski,1,6,15,0.52
minkowski,1,6,20,0.535
minkowski,1,7,1,0.555
minkowski,1,7,2,0.56
minkowski,1,7,3,0.555
minkowski,1,7,5,0.57
minkowski,1,7,10,0.515
minkowski,1,7,15,0.57
minkowski,1,7,20,0.57
minkowski,1,8,1,0.61
minkowski,1,8,2,0.63
minkowski,1,8,3,0.645
minkowski,1,8,5,0.635
minkowski,1,8,10,0.585
minkowski,1,8,15,0.655
minkowski,1,8,20,0.605
minkowski,1,9,1,0.595
minkowski,1,9,2,0.64
minkowski,1,9,3,0.645
minkowski,1,9,5,0.655
minkowski,1,9,10,0.58
minkowski,1,9,15,0.65
minkowski,1,9,20,0.655
minkowski,1,10,1,0.61
minkowski,1,10,2,0.615
minkowski,1,10,3,0.645
minkowski,1,10,5,0.64
minkowski,1,10,10,0.6
minkowski,1,10,15,0.635
minkowski,1,10,20,0.66
minkowski,1,13,1,0.625
minkowski,1,13,2,0.685
minkowski,1,13,3,0.655
minkowski,1,13,5,0.66
minkowski,1,13,10,0.625
minkowski,1,13,15,0.645
minkowski,1,13,20,0.655
minkowski,1,15,1,0.64
minkowski,1,15,2,0.685
minkowski,1,15,3,0.7
minkowski,1,15,5,0.675
minkowski,1,15,10,0.605
minkowski,1,15,15,0.67
minkowski,1,15,20,0.65
minkowski,1,25,1,0.655
minkowski,1,25,2,0.7
minkowski,1,25,3,0.7
minkowski,1,25,5,0.69
minkowski,1,25,10,0.68
minkowski,1,25,15,0.68
minkowski,1,25,20,0.665
minkowski,1,50,1,0.69
minkowski,1,50,2,0.72
minkowski,1,50,3,0.715
minkowski,1,50,5,0.715
minkowski,1,50,10,0.72
minkowski,1,50,15,0.7
minkowski,1,50,20,0.69
minkowski,1,75,1,0.69
minkowski,1,75,2,0.715
minkowski,1,75,3,0.725
minkowski,1,75,5,0.72
minkowski,1,75,10,0.75
minkowski,1,75,15,0.725
minkowski,1,75,20,0.7
minkowski,2,0,1,0.695
minkowski,2,0,2,0.655
minkowski,2,0,3,0.715
minkowski,2,0,5,0.66
minkowski,2,0,10,0.72
minkowski,2,0,15,0.69
minkowski,2,0,20,0.72
minkowski,2,2,1,0.355
minkowski,2,2,2,0.3
minkowski,2,2,3,0.315
minkowski,2,2,5,0.33
