Metrics,Num_Neighbors,PCA_Components,Score
euclidean,1,1,0.23963133640552994
euclidean,1,2,0.30414746543778803
euclidean,1,3,0.31336405529953915
euclidean,1,4,0.34101382488479265
euclidean,1,5,0.35023041474654376
euclidean,1,6,0.3686635944700461
euclidean,1,7,0.35944700460829493
euclidean,1,8,0.3778801843317972
euclidean,1,9,0.3778801843317972
euclidean,1,10,0.3778801843317972
euclidean,1,11,0.3778801843317972
euclidean,1,12,0.3778801843317972
euclidean,1,13,0.3824884792626728
euclidean,1,14,0.3824884792626728
euclidean,1,15,0.3824884792626728
euclidean,1,16,0.3824884792626728
euclidean,1,17,0.3870967741935484
euclidean,1,18,0.3824884792626728
euclidean,1,19,0.3824884792626728
euclidean,1,20,0.3824884792626728
euclidean,1,21,0.3824884792626728
euclidean,1,22,0.3870967741935484
euclidean,1,23,0.3870967741935484
euclidean,1,24,0.3870967741935484
euclidean,1,25,0.3870967741935484
euclidean,1,26,0.3870967741935484
euclidean,1,27,0.3870967741935484
euclidean,1,28,0.3870967741935484
euclidean,1,29,0.3870967741935484
euclidean,1,30,0.3870967741935484
euclidean,1,31,0.3870967741935484
euclidean,1,32,0.3870967741935484
euclidean,1,33,0.3870967741935484
euclidean,1,34,0.3870967741935484
euclidean,1,35,0.3870967741935484
euclidean,1,36,0.3870967741935484
euclidean,1,37,0.3870967741935484
euclidean,1,38,0.3870967741935484
euclidean,1,39,0.3870967741935484
euclidean,1,40,0.3870967741935484
euclidean,1,41,0.3870967741935484
euclidean,1,42,0.3870967741935484
euclidean,1,43,0.3870967741935484
euclidean,1,44,0.3870967741935484
euclidean,1,45,0.3870967741935484
euclidean,1,46,0.3870967741935484
euclidean,1,47,0.3870967741935484
euclidean,1,48,0.3870967741935484
euclidean,1,49,0.3870967741935484
euclidean,1,50,0.3870967741935484
euclidean,2,1,0.21658986175115208
euclidean,2,2,0.31797235023041476
euclidean,2,3,0.35023041474654376
euclidean,2,4,0.3640552995391705
euclidean,2,5,0.3778801843317972
euclidean,2,6,0.3778801843317972
euclidean,2,7,0.37327188940092165
euclidean,2,8,0.3870967741935484
euclidean,2,9,0.3870967741935484
euclidean,2,10,0.3824884792626728
euclidean,2,11,0.3870967741935484
euclidean,2,12,0.3870967741935484
euclidean,2,13,0.3870967741935484
euclidean,2,14,0.391705069124424
euclidean,2,15,0.391705069124424
euclidean,2,16,0.391705069124424
euclidean,2,17,0.391705069124424
euclidean,2,18,0.391705069124424
euclidean,2,19,0.391705069124424
euclidean,2,20,0.391705069124424
euclidean,2,21,0.391705069124424
euclidean,2,22,0.391705069124424
euclidean,2,23,0.391705069124424
euclidean,2,24,0.391705069124424
euclidean,2,25,0.391705069124424
euclidean,2,26,0.391705069124424
euclidean,2,27,0.391705069124424
euclidean,2,28,0.391705069124424
euclidean,2,29,0.391705069124424
euclidean,2,30,0.39631336405529954
euclidean,2,31,0.39631336405529954
euclidean,2,32,0.39631336405529954
euclidean,2,33,0.39631336405529954
euclidean,2,34,0.39631336405529954
euclidean,2,35,0.39631336405529954
euclidean,2,36,0.39631336405529954
euclidean,2,37,0.39631336405529954
euclidean,2,38,0.39631336405529954
euclidean,2,39,0.39631336405529954
euclidean,2,40,0.39631336405529954
euclidean,2,41,0.39631336405529954
euclidean,2,42,0.39631336405529954
euclidean,2,43,0.39631336405529954
euclidean,2,44,0.39631336405529954
euclidean,2,45,0.39631336405529954
euclidean,2,46,0.39631336405529954
euclidean,2,47,0.39631336405529954
euclidean,2,48,0.39631336405529954
euclidean,2,49,0.39631336405529954
euclidean,2,50,0.39631336405529954
euclidean,3,1,0.22119815668202766
euclidean,3,2,0.35944700460829493
euclidean,3,3,0.33640552995391704
euclidean,3,4,0.35023041474654376
euclidean,3,5,0.3640552995391705
euclidean,3,6,0.3824884792626728
euclidean,3,7,0.3870967741935484
euclidean,3,8,0.391705069124424
euclidean,3,9,0.391705069124424
euclidean,3,10,0.3870967741935484
euclidean,3,11,0.39631336405529954
euclidean,3,12,0.4009216589861751
euclidean,3,13,0.391705069124424
euclidean,3,14,0.391705069124424
euclidean,3,15,0.391705069124424
euclidean,3,16,0.391705069124424
euclidean,3,17,0.391705069124424
euclidean,3,18,0.391705069124424
euclidean,3,19,0.39631336405529954
euclidean,3,20,0.391705069124424
euclidean,3,21,0.3870967741935484
euclidean,3,22,0.391705069124424
euclidean,3,23,0.391705069124424
euclidean,3,24,0.39631336405529954
euclidean,3,25,0.39631336405529954
euclidean,3,26,0.39631336405529954
euclidean,3,27,0.39631336405529954
euclidean,3,28,0.39631336405529954
euclidean,3,29,0.39631336405529954
euclidean,3,30,0.39631336405529954
euclidean,3,31,0.39631336405529954
euclidean,3,32,0.39631336405529954
euclidean,3,33,0.39631336405529954
euclidean,3,34,0.39631336405529954
euclidean,3,35,0.39631336405529954
euclidean,3,36,0.39631336405529954
euclidean,3,37,0.39631336405529954
euclidean,3,38,0.39631336405529954
euclidean,3,39,0.39631336405529954
euclidean,3,40,0.39631336405529954
euclidean,3,41,0.39631336405529954
euclidean,3,42,0.39631336405529954
euclidean,3,43,0.39631336405529954
euclidean,3,44,0.39631336405529954
euclidean,3,45,0.39631336405529954
euclidean,3,46,0.39631336405529954
euclidean,3,47,0.39631336405529954
euclidean,3,48,0.39631336405529954
euclidean,3,49,0.39631336405529954
euclidean,3,50,0.39631336405529954
euclidean,4,1,0.21658986175115208
euclidean,4,2,0.41013824884792627
euclidean,4,3,0.3778801843317972
euclidean,4,4,0.3870967741935484
euclidean,4,5,0.41013824884792627
euclidean,4,6,0.41013824884792627
euclidean,4,7,0.41013824884792627
euclidean,4,8,0.4147465437788018
euclidean,4,9,0.4147465437788018
euclidean,4,10,0.4147465437788018
euclidean,4,11,0.4147465437788018
euclidean,4,12,0.4147465437788018
euclidean,4,13,0.4147465437788018
euclidean,4,14,0.4147465437788018
euclidean,4,15,0.4147465437788018
euclidean,4,16,0.4147465437788018
euclidean,4,17,0.4147465437788018
euclidean,4,18,0.4147465437788018
euclidean,4,19,0.4147465437788018
euclidean,4,20,0.4147465437788018
euclidean,4,21,0.4147465437788018
euclidean,4,22,0.4147465437788018
euclidean,4,23,0.4147465437788018
euclidean,4,24,0.4147465437788018
euclidean,4,25,0.4147465437788018
euclidean,4,26,0.4147465437788018
euclidean,4,27,0.4147465437788018
euclidean,4,28,0.4147465437788018
euclidean,4,29,0.4147465437788018
euclidean,4,30,0.4147465437788018
euclidean,4,31,0.4147465437788018
euclidean,4,32,0.4147465437788018
euclidean,4,33,0.4147465437788018
euclidean,4,34,0.4147465437788018
euclidean,4,35,0.4147465437788018
euclidean,4,36,0.4147465437788018
euclidean,4,37,0.4147465437788018
euclidean,4,38,0.4147465437788018
euclidean,4,39,0.4147465437788018
euclidean,4,40,0.4147465437788018
euclidean,4,41,0.4147465437788018
euclidean,4,42,0.4147465437788018
euclidean,4,43,0.4147465437788018
euclidean,4,44,0.4147465437788018
euclidean,4,45,0.4147465437788018
euclidean,4,46,0.4147465437788018
euclidean,4,47,0.4147465437788018
euclidean,4,48,0.4147465437788018
euclidean,4,49,0.4147465437788018
euclidean,4,50,0.4147465437788018
euclidean,5,1,0.23963133640552994
euclidean,5,2,0.41013824884792627
euclidean,5,3,0.37327188940092165
euclidean,5,4,0.39631336405529954
euclidean,5,5,0.41935483870967744
euclidean,5,6,0.42857142857142855
euclidean,5,7,0.4377880184331797
euclidean,5,8,0.43317972350230416
euclidean,5,9,0.43317972350230416
euclidean,5,10,0.43317972350230416
euclidean,5,11,0.4377880184331797
euclidean,5,12,0.4377880184331797
euclidean,5,13,0.4377880184331797
euclidean,5,14,0.4377880184331797
euclidean,5,15,0.4377880184331797
euclidean,5,16,0.4377880184331797
euclidean,5,17,0.4377880184331797
