Metrics,Num_Neighbors,PCA_Components,N_Random_States,Score
minkowski,1,0,,0.72
minkowski,2,0,,0.69
minkowski,3,0,,0.675
minkowski,4,0,,0.74
minkowski,5,0,,0.715
minkowski,7,0,,0.7
minkowski,10,0,,0.74
minkowski,13,0,,0.7
minkowski,15,0,,0.69
minkowski,20,0,,0.655
minkowski,25,0,,0.605
minkowski,1,5,,0.52
minkowski,2,5,,0.52
minkowski,3,5,,0.55
minkowski,4,5,,0.55
minkowski,5,5,,0.58
minkowski,7,5,,0.615
minkowski,10,5,,0.59
minkowski,13,5,,0.58
minkowski,15,5,,0.56
minkowski,20,5,,0.555
minkowski,25,5,,0.58
minkowski,1,6,,0.52
minkowski,2,6,,0.515
minkowski,3,6,,0.535
minkowski,4,6,,0.57
minkowski,5,6,,0.585
minkowski,7,6,,0.545
minkowski,10,6,,0.54
minkowski,13,6,,0.545
minkowski,15,6,,0.545
minkowski,20,6,,0.555
minkowski,25,6,,0.56
minkowski,1,7,,0.57
minkowski,2,7,,0.55
minkowski,3,7,,0.57
minkowski,4,7,,0.61
minkowski,5,7,,0.635
minkowski,7,7,,0.58
minkowski,10,7,,0.615
minkowski,13,7,,0.61
minkowski,15,7,,0.62
minkowski,20,7,,0.64
minkowski,25,7,,0.63
minkowski,1,8,,0.655
minkowski,2,8,,0.575
minkowski,3,8,,0.605
minkowski,4,8,,0.615
minkowski,5,8,,0.62
minkowski,7,8,,0.64
minkowski,10,8,,0.67
minkowski,13,8,,0.65
minkowski,15,8,,0.635
minkowski,20,8,,0.67
minkowski,25,8,,0.655
minkowski,1,9,,0.65
minkowski,2,9,,0.595
minkowski,3,9,,0.6
minkowski,4,9,,0.61
minkowski,5,9,,0.625
minkowski,7,9,,0.6
minkowski,10,9,,0.655
minkowski,13,9,,0.675
minkowski,15,9,,0.675
minkowski,20,9,,0.675
minkowski,25,9,,0.62
minkowski,1,10,,0.635
minkowski,2,10,,0.595
minkowski,3,10,,0.595
minkowski,4,10,,0.62
minkowski,5,10,,0.625
minkowski,7,10,,0.64
minkowski,10,10,,0.635
minkowski,13,10,,0.655
minkowski,15,10,,0.67
minkowski,20,10,,0.645
minkowski,25,10,,0.645
minkowski,1,13,,0.645
minkowski,2,13,,0.63
minkowski,3,13,,0.625
minkowski,4,13,,0.625
minkowski,5,13,,0.63
minkowski,7,13,,0.64
minkowski,10,13,,0.68
minkowski,13,13,,0.68
minkowski,15,13,,0.655
minkowski,20,13,,0.625
minkowski,25,13,,0.635
minkowski,1,15,,0.67
minkowski,2,15,,0.595
minkowski,3,15,,0.64
minkowski,4,15,,0.635
minkowski,5,15,,0.655
minkowski,7,15,,0.665
minkowski,10,15,,0.7
minkowski,13,15,,0.64
minkowski,15,15,,0.63
minkowski,20,15,,0.605
minkowski,25,15,,0.63
minkowski,1,20,,0.67
minkowski,2,20,,0.64
minkowski,3,20,,0.715
minkowski,4,20,,0.645
minkowski,5,20,,0.66
minkowski,7,20,,0.695
minkowski,10,20,,0.685
minkowski,13,20,,0.625
minkowski,15,20,,0.625
minkowski,20,20,,0.635
minkowski,25,20,,0.645
minkowski,1,25,,0.685
minkowski,2,25,,0.655
minkowski,3,25,,0.685
minkowski,4,25,,0.69
minkowski,5,25,,0.66
minkowski,7,25,,0.68
minkowski,10,25,,0.695
minkowski,13,25,,0.67
minkowski,15,25,,0.675
minkowski,20,25,,0.665
minkowski,25,25,,0.665
minkowski,1,50,,0.695
minkowski,2,50,,0.685
minkowski,3,50,,0.68
minkowski,4,50,,0.7
minkowski,5,50,,0.705
minkowski,7,50,,0.7
minkowski,10,50,,0.715
minkowski,13,50,,0.67
minkowski,15,50,,0.695
minkowski,20,50,,0.66
minkowski,25,50,,0.64
minkowski,1,75,,0.72
minkowski,2,75,,0.7
minkowski,3,75,,0.695
minkowski,4,75,,0.735
minkowski,5,75,,0.72
minkowski,7,75,,0.705
minkowski,10,75,,0.72
minkowski,13,75,,0.7
minkowski,15,75,,0.695
minkowski,20,75,,0.66
minkowski,25,75,,0.62
mahalanobis,1,0,,0.61
mahalanobis,2,0,,0.595
mahalanobis,3,0,,0.61
mahalanobis,4,0,,0.585
mahalanobis,5,0,,0.615
mahalanobis,7,0,,0.625
mahalanobis,10,0,,0.61
mahalanobis,13,0,,0.6
mahalanobis,15,0,,0.58
mahalanobis,20,0,,0.55
mahalanobis,25,0,,0.565
mahalanobis,1,5,,0.505
mahalanobis,2,5,,0.5
mahalanobis,3,5,,0.545
mahalanobis,4,5,,0.56
mahalanobis,5,5,,0.56
mahalanobis,7,5,,0.565
mahalanobis,10,5,,0.57
mahalanobis,13,5,,0.54
mahalanobis,15,5,,0.51
mahalanobis,20,5,,0.535
mahalanobis,25,5,,0.545
mahalanobis,1,6,,0.515
mahalanobis,2,6,,0.535
mahalanobis,3,6,,0.55
mahalanobis,4,6,,0.565
mahalanobis,5,6,,0.545
mahalanobis,7,6,,0.555
mahalanobis,10,6,,0.575
mahalanobis,13,6,,0.555
mahalanobis,15,6,,0.52
mahalanobis,20,6,,0.535
mahalanobis,25,6,,0.555
mahalanobis,1,7,,0.54
mahalanobis,2,7,,0.545
mahalanobis,3,7,,0.585
mahalanobis,4,7,,0.565
mahalanobis,5,7,,0.58
mahalanobis,7,7,,0.565
mahalanobis,10,7,,0.59
mahalanobis,13,7,,0.58
mahalanobis,15,7,,0.55
mahalanobis,20,7,,0.54
mahalanobis,25,7,,0.58
mahalanobis,1,8,,0.585
mahalanobis,2,8,,0.56
mahalanobis,3,8,,0.585
mahalanobis,4,8,,0.58
mahalanobis,5,8,,0.58
mahalanobis,7,8,,0.585
mahalanobis,10,8,,0.58
mahalanobis,13,8,,0.585
mahalanobis,15,8,,0.565
mahalanobis,20,8,,0.545
mahalanobis,25,8,,0.58
mahalanobis,1,9,,0.585
mahalanobis,2,9,,0.565
mahalanobis,3,9,,0.59
mahalanobis,4,9,,0.575
mahalanobis,5,9,,0.58
mahalanobis,7,9,,0.61
mahalanobis,10,9,,0.575
mahalanobis,13,9,,0.585
mahalanobis,15,9,,0.565
mahalanobis,20,9,,0.52
mahalanobis,25,9,,0.585
mahalanobis,1,10,,0.595
mahalanobis,2,10,,0.575
mahalanobis,3,10,,0.575
mahalanobis,4,10,,0.585
mahalanobis,5,10,,0.59
mahalanobis,7,10,,0.605
mahalanobis,10,10,,0.6
mahalanobis,13,10,,0.6
mahalanobis,15,10,,0.555
mahalanobis,20,10,,0.53
mahalanobis,25,10,,0.59
mahalanobis,1,13,,0.595
mahalanobis,2,13,,0.575
mahalanobis,3,13,,0.6
mahalanobis,4,13,,0.585
mahalanobis,5,13,,0.62
mahalanobis,7,13,,0.615
mahalanobis,10,13,,0.6
mahalanobis,13,13,,0.6
mahalanobis,15,13,,0.565
mahalanobis,20,13,,0.54
mahalanobis,25,13,,0.56
mahalanobis,1,15,,0.595
mahalanobis,2,15,,0.595
mahalanobis,3,15,,0.58
mahalanobis,4,15,,0.59
mahalanobis,5,15,,0.63
mahalanobis,7,15,,0.62
mahalanobis,10,15,,0.59
mahalanobis,13,15,,0.6
mahalanobis,15,15,,0.565
mahalanobis,20,15,,0.545
mahalanobis,25,15,,0.555
mahalanobis,1,20,,0.61
mahalanobis,2,20,,0.585
mahalanobis,3,20,,0.595
mahalanobis,4,20,,0.56
mahalanobis,5,20,,0.62
mahalanobis,7,20,,0.625
mahalanobis,10,20,,0.595
mahalanobis,13,20,,0.6
mahalanobis,15,20,,0.545
mahalanobis,20,20,,0.525
mahalanobis,25,20,,0.555
mahalanobis,1,25,,0.605
mahalanobis,2,25,,0.575
mahalanobis,3,25,,0.6
mahalanobis,4,25,,0.575
mahalanobis,5,25,,0.625
mahalanobis,7,25,,0.625
mahalanobis,10,25,,0.605
mahalanobis,13,25,,0.605
mahalanobis,15,25,,0.545
mahalanobis,20,25,,0.525
mahalanobis,25,25,,0.56
mahalanobis,1,50,,0.61
mahalanobis,2,50,,0.575
mahalanobis,3,50,,0.6
mahalanobis,4,50,,0.58
mahalanobis,5,50,,0.615
mahalanobis,7,50,,0.625
mahalanobis,10,50,,0.615
mahalanobis,13,50,,0.6
mahalanobis,15,50,,0.58
mahalanobis,20,50,,0.55
mahalanobis,25,50,,0.565
mahalanobis,1,75,,0.61
mahalanobis,2,75,,0.585
mahalanobis,3,75,,0.605
mahalanobis,4,75,,0.58
mahalanobis,5,75,,0.615
mahalanobis,7,75,,0.625
mahalanobis,10,75,,0.61
mahalanobis,13,75,,0.6
mahalanobis,15,75,,0.575
mahalanobis,20,75,,0.545
mahalanobis,25,75,,0.565
euclidean,1,0,,0.72
euclidean,2,0,,0.69
euclidean,3,0,,0.675
euclidean,4,0,,0.74
euclidean,5,0,,0.715
euclidean,7,0,,0.7
euclidean,10,0,,0.74
euclidean,13,0,,0.7
euclidean,15,0,,0.69
euclidean,20,0,,0.655
euclidean,25,0,,0.605
euclidean,1,5,,0.52
euclidean,2,5,,0.52
euclidean,3,5,,0.55
euclidean,4,5,,0.55
euclidean,5,5,,0.58
euclidean,7,5,,0.615
euclidean,10,5,,0.59
euclidean,13,5,,0.58
euclidean,15,5,,0.56
euclidean,20,5,,0.555
euclidean,25,5,,0.58
euclidean,1,6,,0.52
euclidean,2,6,,0.515
euclidean,3,6,,0.535
euclidean,4,6,,0.57
euclidean,5,6,,0.585
euclidean,7,6,,0.545
euclidean,10,6,,0.54
euclidean,13,6,,0.545
euclidean,15,6,,0.545
euclidean,20,6,,0.555
