Metrics,Num_Neighbors,PCA_Components,N_Random_States,Score
mahalanobis,1,0,1,0.3456221198156682
mahalanobis,1,0,2,0.3087557603686636
mahalanobis,1,0,3,0.3225806451612903
mahalanobis,1,0,4,0.34101382488479265
mahalanobis,1,0,5,0.33640552995391704
mahalanobis,1,0,6,0.2672811059907834
mahalanobis,1,0,7,0.31336405529953915
mahalanobis,1,0,8,0.35944700460829493
mahalanobis,1,0,9,0.3087557603686636
mahalanobis,1,0,10,0.3271889400921659
mahalanobis,1,0,11,0.3271889400921659
mahalanobis,1,0,12,0.33640552995391704
mahalanobis,1,0,13,0.2626728110599078
mahalanobis,1,0,14,0.3271889400921659
mahalanobis,1,0,15,0.2857142857142857
mahalanobis,1,0,16,0.3548387096774194
mahalanobis,1,0,17,0.29493087557603687
mahalanobis,1,0,18,0.35023041474654376
mahalanobis,1,0,19,0.28110599078341014
mahalanobis,1,0,20,0.2903225806451613
mahalanobis,1,2,1,0.3456221198156682
mahalanobis,1,2,2,0.31797235023041476
mahalanobis,1,2,3,0.29493087557603687
mahalanobis,1,2,4,0.3317972350230415
mahalanobis,1,2,5,0.3317972350230415
mahalanobis,1,2,6,0.25806451612903225
mahalanobis,1,2,7,0.31336405529953915
mahalanobis,1,2,8,0.3456221198156682
mahalanobis,1,2,9,0.30414746543778803
mahalanobis,1,2,10,0.3271889400921659
mahalanobis,1,2,11,0.3271889400921659
mahalanobis,1,2,12,0.30414746543778803
mahalanobis,1,2,13,0.25806451612903225
mahalanobis,1,2,14,0.31797235023041476
mahalanobis,1,2,15,0.2857142857142857
mahalanobis,1,2,16,0.35023041474654376
mahalanobis,1,2,17,0.29493087557603687
mahalanobis,1,2,18,0.3317972350230415
mahalanobis,1,2,19,0.2764976958525346
mahalanobis,1,2,20,0.2857142857142857
mahalanobis,1,3,1,0.3456221198156682
mahalanobis,1,3,2,0.31336405529953915
mahalanobis,1,3,3,0.31797235023041476
mahalanobis,1,3,4,0.3317972350230415
mahalanobis,1,3,5,0.33640552995391704
mahalanobis,1,3,6,0.2626728110599078
mahalanobis,1,3,7,0.3087557603686636
mahalanobis,1,3,8,0.35023041474654376
mahalanobis,1,3,9,0.31336405529953915
mahalanobis,1,3,10,0.3271889400921659
mahalanobis,1,3,11,0.3271889400921659
mahalanobis,1,3,12,0.3317972350230415
mahalanobis,1,3,13,0.25806451612903225
mahalanobis,1,3,14,0.3225806451612903
mahalanobis,1,3,15,0.28110599078341014
mahalanobis,1,3,16,0.35023041474654376
mahalanobis,1,3,17,0.29493087557603687
mahalanobis,1,3,18,0.34101382488479265
mahalanobis,1,3,19,0.28110599078341014
mahalanobis,1,3,20,0.2903225806451613
mahalanobis,1,4,1,0.3456221198156682
mahalanobis,1,4,2,0.3087557603686636
mahalanobis,1,4,3,0.3225806451612903
mahalanobis,1,4,4,0.34101382488479265
mahalanobis,1,4,5,0.33640552995391704
